,Mean,Min,Max,Folder,Image,Texture,Shape,Pigmentation,Comment,Roi
1,98.936,47,182,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Smooth,Circle,Clear,,0324-0845
2,90.917,32,182,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Smooth,Circle,Dark,,0634-0723
3,102.939,59,182,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Clear,,0778-1078
4,112.348,30,199,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Clear,,0894-1145
5,102.124,22,196,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Smooth,Circle,Dark,,0436-1533
6,109.177,32,185,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Smooth,Circle,Dark,,0800-1223
7,90.966,25,194,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Clear,,0058-1034
8,88.925,19,194,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Clear,,0114-1068
9,104.629,23,204,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Clear,,0826-1441
10,102.44,21,189,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Clear,,0672-0185
11,104.303,18,203,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Clear,,0528-0093
12,91.603,18,202,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Clear,,0448-0067
13,90.614,12,195,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Dark,,0876-0897
14,83.066,13,196,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Dark,,0814-0410
15,90.458,20,210,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Clear,,0394-0109
16,100.346,23,187,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Clear,,0192-1136
17,84.849,15,205,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Dark,,0272-1376
18,81.898,10,207,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Dark,,0304-1420
19,86.926,14,207,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Dark,,0358-1430
20,94.513,18,193,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Dark,,0130-0039
21,99.512,19,205,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Dark,,0244-0195
22,100.04,27,213,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Dark,,1164-0255
23,103.711,27,201,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Dark,,1130-0223
24,86.833,21,187,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Ellipse,Dark,,0288-0776
25,100.011,18,184,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Dark,,0252-0943
26,106.881,17,191,C:\Users\Laurent Thomas\Desktop,embryos.jpg,Granular,Circle,Dark,,0502-0469
